,10_Pt/TiO2,11_PCN,12_Pt/CdS,13_Pt/WO3,20_Xylose-0.25M,21_Proline,22_Cysteine,23_Glucose,24_Cellobiose,30_NaOH-0.5M,31_CitricAcid-0.5M,32_AcidYellow73,33_AcidViolet43,34_AcidGreen1,Target
0,0.0,1.46,0.66,2.41,0.0,0.25,0.0,0.25,0.0,1.0,0.5,0.0,0.0,0.5,0.0549091232923103
1,0.92,0.48,0.93,0.0,1.0,1.0,0.25,0.25,0.0,0.5,0.0,0.0,0.25,0.25,1.259835500899712
2,0.0,0.0,3.48,0.0,0.0,0.75,0.75,1.5,0.0,0.5,0.0,0.0,0.0,0.0,3.736750924735969
3,0.0,0.0,1.39,0.0,1.75,0.0,0.0,0.5,0.75,0.25,0.25,0.0,0.0,0.25,0.09294188538359105
4,2.47,0.93,0.0,0.37,0.25,0.0,1.5,0.0,0.25,0.25,0.0,0.5,0.75,0.0,3.491957449127216
5,0.0,0.9600000000000001,0.47,0.98,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.5,0.25,0.5,0.0483066866201645
6,0.5,1.51,0.48,2.39,0.25,0.75,0.25,0.0,0.0,0.25,0.25,0.0,0.5,0.25,0.3888678002243617
7,1.03,0.99,1.5,0.26,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.25,0.25,1.25,0.04365052078952197
8,0.0,0.0,1.07,1.64,0.5,0.5,0.25,0.75,0.0,0.0,0.5,0.0,0.25,0.75,0.4693946742527531
9,2.5,0.0,1.01,0.83,0.75,0.0,1.0,0.0,0.75,0.25,0.25,0.0,0.75,0.0,2.11171806436343
10,0.5,1.01,0.9600000000000001,0.27,0.25,0.0,0.0,0.0,0.0,0.75,1.0,0.0,0.0,2.0,0.2389155254776171
11,0.0,0.0,4.87,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.985987238613093
12,0.0,0.0,4.930000000000001,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.882780793095942
13,3.03,0.44,0.0,0.0,0.0,0.25,1.75,0.25,0.0,0.25,0.25,0.0,0.5,0.5,1.707555720578147
14,0.5,0.98,0.0,0.24,0.5,0.0,0.25,0.75,0.5,0.5,0.25,0.0,0.25,0.75,0.4042487285624335
15,0.45,1.99,0.0,1.47,0.75,0.25,0.0,0.5,0.0,0.0,1.75,0.0,0.0,0.0,1.16828353460645
16,0.0,1.01,0.0,3.51,1.25,0.5,0.0,0.0,0.5,1.25,0.0,0.0,0.0,0.25,0.3869110842555856
17,0.0,0.0,2.17,1.09,0.0,0.75,0.0,0.5,0.0,0.5,0.25,0.5,1.0,0.0,0.04699086900791096
18,0.0,0.0,1.61,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03766521704786107
19,0.48,0.0,0.92,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04038930872598588
20,0.0,0.0,4.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03759697437569189
21,0.0,2.0,0.0,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03802198000706329
22,0.49,1.04,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03784043268260483
23,0.51,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03756742096881685
24,1.51,0.99,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03539386361312238
25,0.0,0.0,4.87,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.822438822982718
26,0.0,0.0,4.96,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.852817339330125
27,0.0,0.0,0.0,3.1,0.5,0.0,0.0,0.5,2.0,0.5,0.0,0.5,0.0,0.25,0.04319747592480912
28,0.0,1.46,0.0,2.11,0.75,0.5,0.25,0.0,0.75,0.0,0.0,0.0,1.25,0.0,0.06436835131165758
29,3.49,0.49,0.0,0.0,1.0,0.0,0.5,0.25,0.25,1.25,0.0,0.0,0.25,0.25,1.776011667632781
30,0.9700000000000001,0.5,1.19,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.5,0.75,0.0,1.0,0.5595852729210712
31,0.5199999999999999,0.47,2.03,0.0,1.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.5,1.25,0.07053995005866592
32,0.0,0.98,0.46,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1.0,1.25,0.0,0.04008757863049278
33,0.0,3.56,0.5599999999999999,0.0,1.5,0.25,0.25,0.75,0.0,0.0,0.0,0.5,0.0,0.75,0.4230061047207873
34,0.0,1.47,1.08,1.96,0.25,0.25,1.5,0.0,0.25,1.25,0.0,0.25,0.0,0.0,3.81011748992547
35,0.9600000000000001,0.45,0.0,2.7,0.25,0.0,0.0,0.5,0.75,1.75,0.0,0.0,0.0,0.25,0.4451833542365874
36,0.99,0.49,1.36,0.22,0.0,0.25,0.0,0.0,0.75,0.0,0.25,0.75,1.0,0.5,0.3704761663700409
37,2.55,0.0,0.0,1.32,0.0,2.25,0.0,0.0,0.25,0.0,0.25,0.0,0.5,0.25,2.543246340180569
38,0.0,1.07,1.97,1.0,0.0,0.25,0.0,1.5,0.25,0.75,0.25,0.5,0.0,0.0,0.151461801879398
39,0.0,0.0,4.95,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.090621105120464
40,0.0,0.0,4.91,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.061898930453136
41,0.53,0.0,0.58,1.88,0.0,0.25,0.25,0.0,0.0,0.0,0.5,0.5,1.25,1.0,0.270052945765536
42,1.0,0.0,2.05,0.8400000000000001,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.75,0.06273595801655517
43,0.94,1.61,1.14,0.0,0.75,0.25,0.5,0.25,0.0,0.75,0.0,0.25,0.5,0.0,1.044706835504161
44,0.0,0.42,1.42,0.58,0.0,0.75,0.25,0.5,0.0,0.0,0.25,0.5,0.25,0.5,0.4299386936522188
45,1.96,0.44,0.6,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.25,0.0,1.25,0.0,1.108731576564358
46,1.97,0.45,0.91,0.65,0.0,0.0,0.5,0.0,0.5,0.0,0.25,1.0,0.0,0.5,0.9869702100896256
47,0.0,2.01,0.0,2.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0468146616655546
48,4.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0450437894411141
49,0.0,3.51,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04206624373461142
50,0.0,0.9600000000000001,0.42,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04414528788916276
51,2.53,0.0,0.46,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03881234466928098
52,0.0,1.54,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03952957994353118
53,2.02,0.98,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04006458535882212
54,0.0,0.0,4.88,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.896302480017723
55,0.0,0.0,4.930000000000001,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8023664425882
56,0.0,0.0,1.59,0.9600000000000001,0.0,1.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.7156529506557358
57,0.46,0.0,2.37,0.71,0.0,1.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.135266850402992
58,0.0,0.0,4.44,0.0,0.0,0.75,1.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,1.41757033915993
59,0.0,0.0,3.92,0.53,0.0,0.75,1.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,1.425630237196462
60,0.0,0.0,4.02,0.0,0.0,0.5,1.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,1.322590559711638
61,0.0,0.46,4.01,0.0,0.0,0.5,1.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,1.348030015778967
62,0.0,1.02,1.52,1.87,0.0,0.5,1.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,1.03182964782432
63,0.0,0.45,3.43,0.0,0.0,0.5,1.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,1.507682007649862
64,0.0,0.53,2.04,1.85,0.0,0.25,1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.20575519322738
65,0.0,0.0,3.47,0.0,0.0,0.25,1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.545895547754579
66,0.7699999999999999,0.49,0.47,2.5,0.0,0.0,1.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.8326669730778834
67,0.0,0.0,1.0,3.77,0.0,0.0,1.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.6748146915049129
68,0.0,0.0,0.51,3.79,0.0,0.0,1.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.5150394771687692
69,0.0,0.0,4.989999999999999,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.899039768987552
70,0.0,0.0,5.02,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.869841749057602
71,0.0,0.0,0.0,5.0,0.0,0.0,1.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.06598721008090083
72,0.0,0.49,0.0,3.54,0.0,0.0,4.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.3122511759265655
73,0.0,0.49,3.0,0.0,0.0,0.0,4.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.698809951960639
74,0.0,0.0,1.01,2.36,0.0,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.909879561185738
75,0.48,0.49,3.02,0.0,0.0,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.067174920157796
76,0.42,1.02,1.52,0.0,0.0,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56250701165774
77,0.95,0.0,1.04,2.03,0.0,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.583391746190436
78,0.51,0.0,1.52,2.13,0.0,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.595086339627379
79,0.0,0.49,2.52,0.0,0.0,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.023973335283499
80,0.0,0.0,1.98,1.96,0.0,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.741727452402342
81,0.0,0.48,0.53,1.29,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.446419862340079
82,0.0,0.53,0.0,3.97,0.0,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2542907161948683
83,0.0,3.0,0.0,0.92,0.0,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8852248450334648
84,0.0,0.0,5.029999999999999,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.948085565448549
85,0.0,0.0,4.94,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.938032744156507
86,1.44,0.48,2.02,0.0,1.25,1.25,0.75,0.25,0.25,0.0,0.0,0.0,0.0,0.5,1.179265342255259
87,1.94,0.0,2.09,0.0,1.75,1.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.342365393142401
88,1.98,0.0,2.42,0.0,1.75,1.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.882426593711742
89,2.51,0.0,2.0,0.0,2.25,1.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.917210010094515
90,2.5,0.51,1.66,0.0,2.25,1.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78144375515696
91,2.96,0.0,1.01,0.0,2.25,1.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.890409517823359
92,3.05,0.9600000000000001,0.44,0.0,2.25,1.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.462847134550094
93,2.98,0.0,1.72,0.0,2.25,1.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.280526425804881
94,2.98,0.55,0.43,0.0,2.25,1.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.387320112768723
95,3.45,0.47,0.4,0.0,2.25,1.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.263250609465022
96,3.49,0.0,0.49,0.0,2.25,1.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.713078544323363
97,3.52,1.0,0.0,0.0,2.25,1.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.313878102294841
98,0.0,0.0,4.94,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.009882070454287
99,0.0,0.0,4.930000000000001,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.042278186028841
100,0.76,0.0,3.92,0.0,1.75,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.065701143497616
101,0.4,0.0,4.09,0.0,1.75,0.75,0.5,0.0,0.25,0.25,0.0,0.0,0.0,0.25,3.249755849293147
102,0.46,0.0,3.88,0.0,2.0,0.75,0.5,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.975501236416593
103,0.42,0.0,3.97,0.0,2.0,0.75,0.5,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.9916062694521781
104,0.49,0.0,4.029999999999999,0.0,3.25,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.080752261557377
105,1.05,1.56,1.46,0.0,2.5,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.904280857403597
106,1.68,0.0,1.41,0.0,3.25,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.835525744341693
107,1.48,0.0,1.57,1.09,3.25,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.659020039463632
108,1.42,1.04,1.89,0.0,3.5,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.772500358620255
109,1.46,0.48,1.96,0.0,3.5,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.961573083241038
110,1.42,0.0,1.92,0.0,3.5,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.625050968882617
111,0.0,0.0,4.55,0.0,3.5,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9896808583796127
112,4.41,0.0,0.0,0.0,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.151799208930047
113,0.0,0.0,4.989999999999999,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.246292788017686
114,0.0,0.0,4.98,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.101917684303685
115,1.05,1.02,0.5900000000000001,0.33,0.0,0.0,1.5,0.0,0.0,2.25,0.0,0.0,0.0,0.25,1.046299897672382
116,0.95,0.98,0.51,0.0,0.0,0.0,1.5,0.0,0.0,2.25,0.0,0.0,0.0,0.5,1.022320979158535
117,1.03,0.95,1.12,0.0,0.0,0.0,1.75,0.0,0.0,2.5,0.0,0.0,0.0,0.25,1.218931918805519
118,0.9600000000000001,1.02,1.09,0.5199999999999999,0.0,0.0,1.75,0.0,0.0,2.5,0.0,0.0,0.0,0.0,1.517443088772481
119,1.57,1.0,1.04,0.0,0.0,0.0,1.75,0.0,0.0,2.5,0.0,0.0,0.0,0.25,1.330185223941484
120,1.52,0.9600000000000001,0.9600000000000001,0.53,0.0,0.0,1.75,0.0,0.0,2.5,0.0,0.0,0.0,0.25,1.220518567988159
121,1.51,1.09,1.21,0.0,0.0,0.0,1.75,0.0,0.0,2.5,0.0,0.0,0.0,0.0,1.644865111338718
122,1.41,0.8899999999999999,0.8400000000000001,0.0,0.0,0.0,1.75,0.0,0.0,2.75,0.0,0.0,0.0,0.0,1.480034998993316
123,1.45,1.07,1.05,0.53,0.0,0.0,1.75,0.0,0.0,2.5,0.0,0.0,0.0,0.0,1.649639921814088
124,1.5,0.92,0.87,0.5,0.0,0.0,1.75,0.0,0.0,2.75,0.0,0.0,0.0,0.0,1.463793763223403
125,1.98,0.98,1.05,0.0,0.0,0.0,1.75,0.0,0.0,2.75,0.0,0.0,0.0,0.0,1.440103277228505
126,3.45,0.94,0.0,0.0,0.0,1.0,0.75,0.0,0.0,2.75,0.0,0.0,0.0,0.0,2.55961518720557
127,0.0,0.0,4.4,0.0,0.0,0.5,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.074410715564816
128,0.0,0.0,5.02,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.273198902527161
129,3.5,0.92,0.0,0.0,0.0,0.75,1.0,0.0,0.0,2.75,0.0,0.0,0.0,0.0,2.104642873126517
130,1.95,1.49,0.41,0.0,0.5,0.0,1.75,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.46197727821339
131,4.48,0.0,0.0,0.0,0.0,2.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.505786600087305
132,3.03,1.47,0.0,0.0,0.0,0.75,1.75,0.0,0.0,2.25,0.0,0.0,0.0,0.0,3.032177371754149
133,2.95,1.46,0.0,0.0,0.0,0.75,1.75,0.0,0.0,1.5,0.0,0.0,0.0,0.0,2.544448045333942
134,3.0,1.49,0.0,0.0,0.25,0.75,2.0,0.0,0.0,0.25,0.25,0.5,0.0,0.0,2.251692558819507
135,3.01,1.52,0.0,0.0,0.0,0.75,2.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,4.915732602207563
136,2.99,1.51,0.0,0.0,0.25,0.75,2.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,3.730904288057483
137,3.0,1.5,0.0,0.0,0.0,0.75,2.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,5.743369286618674
138,5.61,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5,4.297590784838797
139,4.4,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,5.406074162319646
140,4.43,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.537138164846306
141,4.52,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,3.789001075767675
142,0.0,0.0,4.890000000000001,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.297672997522308
143,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.311852580806498
144,0.9600000000000001,0.98,0.47,0.0,0.0,0.0,1.5,0.0,0.25,2.0,0.25,0.0,0.0,0.0,2.49750158609047
145,0.87,1.01,0.45,0.51,0.25,0.0,1.5,0.0,0.0,2.0,0.25,0.0,0.0,0.25,2.500721042961493
146,1.4,0.9600000000000001,0.99,0.0,0.0,0.0,1.75,0.0,0.0,2.75,0.0,0.0,0.0,0.0,1.530378532439133
147,1.47,0.99,1.1,0.49,0.0,0.0,1.75,0.0,0.0,2.75,0.0,0.0,0.0,0.0,1.481244873053764
148,1.43,0.91,1.02,0.5,0.0,0.0,1.75,0.0,0.0,2.5,0.0,0.0,0.0,0.0,1.591521804645168
149,1.43,0.99,0.98,0.0,0.0,0.0,1.75,0.0,0.0,2.5,0.0,0.0,0.0,0.0,1.478567798482939
150,1.49,1.01,1.02,0.0,0.0,0.0,1.75,0.0,0.0,2.5,0.25,0.0,0.0,0.0,2.219587070880643
151,1.39,1.04,0.98,0.0,0.25,0.0,1.75,0.0,0.0,2.5,0.0,0.0,0.0,0.0,2.389373202666763
152,2.45,0.9700000000000001,0.46,0.0,0.0,0.25,1.75,0.0,0.0,2.5,0.0,0.0,0.0,0.0,1.994343971057206
153,0.0,0.0,4.35,0.0,0.0,0.25,1.25,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.113452484812314
154,0.47,0.9700000000000001,2.63,0.0,0.0,0.0,2.0,0.25,0.0,2.5,0.0,0.0,0.0,0.0,2.139746842948313
155,3.5,1.0,0.0,0.0,0.0,0.5,1.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,2.168701171080924
156,0.47,1.02,2.94,0.0,0.0,0.0,2.0,0.25,0.0,2.5,0.0,0.0,0.0,0.0,2.304524416183797
157,0.0,0.0,4.97,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.081569112868813
158,0.0,0.0,4.91,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.154946745743473
159,3.7,1.17,0.0,0.0,0.0,0.75,1.5,0.0,0.0,2.25,0.0,0.0,0.0,0.0,2.205384593305571
160,3.44,0.9600000000000001,0.0,0.0,0.0,0.75,1.75,0.0,0.0,2.25,0.0,0.0,0.0,0.0,2.265122301415192
161,0.0,0.93,3.71,0.0,0.0,0.0,2.0,0.5,0.0,2.25,0.0,0.0,0.0,0.0,2.013713355762903
162,4.95,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,3.085637940018489
163,0.0,0.0,4.92,0.0,0.0,0.25,1.5,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.342042816106843
164,0.0,0.0,4.43,0.0,0.0,0.25,1.5,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.460956928697994
165,4.44,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,3.086688019368672
166,0.0,0.99,3.47,0.0,0.0,0.0,2.0,0.75,0.0,1.75,0.0,0.0,0.0,0.0,3.721698744407101
167,2.96,1.48,0.0,0.0,0.0,0.75,1.75,0.0,0.0,2.25,0.0,0.0,0.0,0.0,2.551225041589598
168,3.03,1.46,0.0,0.0,0.0,0.75,1.75,0.0,0.0,0.5,1.25,0.0,0.0,0.0,3.081750009437572
169,3.02,1.5,0.0,0.0,0.0,0.75,1.75,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.381751011495818
170,5.45,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,5.708904708830119
171,4.97,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,3.39890771859869
172,0.0,0.0,4.95,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.294657392351348
173,0.0,0.0,4.97,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.147340149624387
174,3.46,0.0,1.07,0.0,0.0,0.75,2.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,2.902682025123862
175,3.46,0.0,0.85,0.0,0.75,0.75,2.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,2.348892980171876
176,3.44,0.0,1.07,0.0,0.0,0.75,2.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,4.703670073720163
177,3.43,0.0,0.94,0.0,0.0,0.75,2.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,4.811667622833421
178,3.38,0.0,1.07,0.0,0.25,0.75,2.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,3.137912456672303
179,3.38,0.0,1.05,0.0,0.0,0.75,2.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,4.173411293135704
180,3.45,0.0,1.05,0.0,0.25,0.75,2.25,0.25,0.0,0.0,0.0,0.25,0.25,0.25,2.16202544009395
181,3.45,0.0,1.09,0.0,0.5,0.75,2.25,0.0,0.0,0.0,0.0,0.0,0.25,0.5,2.338760721767219
182,2.96,0.0,1.44,0.0,0.0,0.75,2.25,0.0,0.5,0.25,0.0,0.5,0.0,0.0,8.742044945883793
183,2.95,0.0,1.42,0.0,1.0,0.75,2.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,6.148197989924179
184,0.99,0.0,3.44,0.0,0.0,0.5,2.5,0.0,0.5,0.25,0.0,0.25,0.0,0.0,9.477285370095146
185,0.9700000000000001,0.0,3.44,0.0,0.0,0.5,2.5,0.0,0.0,0.25,0.0,0.5,0.0,0.0,9.486430010030992
186,1.02,0.0,3.47,0.0,0.25,0.5,2.5,0.0,0.25,0.25,0.0,0.0,0.0,0.0,8.408327312215045
187,0.0,0.0,5.01,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.194602300472721
188,0.0,0.0,4.97,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.338813406633381
189,0.0,0.0,4.94,0.0,0.0,0.25,3.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,13.74809462814807
190,0.0,0.0,4.989999999999999,0.0,0.0,0.25,3.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,15.11586892723036
